#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
299148 60050.132812 8666.137695 73558.460938 -258.235565 -49.503223 112.095428 9.692520 1.000000e+37
299149 59944.839844 8514.109375 73331.906250 119.068001 3.064055 -343.099823 14.712472 1.000000e+37
299150 59958.343750 8525.681641 73309.578125 186.094437 111.727943 280.507385 15.101758 1.000000e+37
299151 59747.039062 8287.176758 73368.867188 204.618362 276.574066 -184.549210 10.246322 1.000000e+37
299152 59856.746094 8403.454102 73529.984375 -184.789764 -64.081078 146.084427 13.048373 1.000000e+37
299153 59811.437500 8458.831055 73285.484375 -334.421631 -162.090225 347.230804 14.230227 1.000000e+37
299154 59606.765625 8259.576172 73261.226562 -121.398766 96.389923 -29.671354 14.279784 1.000000e+37
299155 59940.839844 8694.146484 73247.445312 -227.553619 88.227226 86.757164 14.069888 1.000000e+37
299156 59887.042969 8374.778320 73335.734375 57.715939 -72.778511 -191.112061 12.890536 1.000000e+37
299157 59588.328125 8364.766602 73260.062500 166.166122 -107.731903 271.332031 11.876340 1.000000e+37
299158 59726.351562 8467.897461 73599.554688 -277.894196 159.049072 -86.577827 13.529979 1.000000e+37
299159 59633.394531 8487.928711 73422.765625 -216.381195 125.021965 80.227715 13.810622 -8.711814e+00
299160 59622.957031 8329.857422 73249.210938 256.417633 -60.689636 34.463123 10.958540 1.000000e+37
299161 59780.160156 8447.250000 73646.843750 40.950451 264.994171 -53.762840 8.691411 1.000000e+37
299162 59626.078125 8563.982422 73159.539062 -15.333002 111.547455 -138.662521 10.150980 1.000000e+37
299163 59869.464844 8698.542969 73466.210938 -366.377289 106.562958 16.989040 9.042800 1.000000e+37
299164 59843.273438 8383.910156 73324.562500 -381.871918 257.912872 355.823456 12.041908 1.000000e+37
299165 59672.906250 8516.413086 73362.703125 -86.605858 311.344849 179.415298 11.825737 1.000000e+37
299166 59914.328125 8610.889648 73390.109375 -210.729965 -73.825554 -170.221100 13.827204 1.000000e+37
299167 59813.921875 8496.879883 73471.773438 321.539032 207.966003 -131.263336 9.438087 1.000000e+37
299168 59614.699219 8468.201172 73384.265625 -138.303024 -184.028427 -45.836327 11.305073 1.000000e+37
299169 59674.742188 8140.055664 73106.906250 249.299545 212.355331 -16.352484 10.897407 1.000000e+37
299170 59372.925781 8407.890625 73441.093750 155.834259 150.710892 15.626360 9.303323 1.000000e+37
299171 60300.261719 8755.774414 73551.445312 -23.746521 -49.836601 -278.856323 13.581897 1.000000e+37
299172 59573.507812 8562.345703 73359.789062 -120.580391 -86.152992 -203.453842 9.800909 1.000000e+37
299173 59466.585938 8554.306641 73172.328125 33.824802 46.578648 -143.309113 11.677886 1.000000e+37
299174 59839.484375 8529.042969 73315.140625 102.976646 529.972534 233.233353 15.235190 1.000000e+37
299175 60213.277344 8630.930664 73427.898438 -124.386284 177.701233 93.368782 10.004270 1.000000e+37
299176 59988.027344 8739.179688 73506.093750 -313.111481 151.987747 80.208824 11.711401 1.000000e+37
299177 59421.476562 8173.587891 73173.968750 133.319977 14.289195 109.605179 11.082069 1.000000e+37
299178 59830.265625 8371.863281 73398.445312 360.014465 262.481628 -228.189041 12.880609 1.000000e+37
299179 59868.492188 8374.110352 73254.859375 -116.523666 217.933777 -13.484899 14.621338 1.000000e+37
299180 59505.511719 8487.687500 73136.203125 -104.717598 77.423264 -89.757484 7.526544 1.000000e+37
299181 59406.078125 8236.206055 73270.210938 35.733822 181.625061 218.713959 10.126246 1.000000e+37
299182 60177.472656 8845.338867 73558.750000 -161.514465 -1.566545 20.468832 10.307717 1.000000e+37
299183 59878.605469 8459.721680 73167.218750 -309.079254 -70.956825 -214.305099 12.459930 1.000000e+37
299184 60021.328125 8400.367188 73225.257812 -280.758820 19.211626 341.363159 9.246014 1.000000e+37
299185 59719.921875 8316.884766 73057.109375 -40.847019 130.167313 119.300362 10.268931 1.000000e+37
299186 59891.203125 8542.631836 73264.757812 346.851349 -66.804703 -51.381004 11.706638 1.000000e+37
299187 59833.656250 8499.334961 73231.078125 -124.224106 -301.196808 237.915146 11.887527 1.000000e+37
299188 59579.753906 8275.229492 73149.507812 77.746887 198.122818 117.004234 9.467786 1.000000e+37
299189 59479.144531 8349.573242 73369.882812 161.818848 140.806641 144.344955 7.974821 1.000000e+37
299190 59486.542969 8334.314453 73344.828125 -52.675014 294.008545 107.305214 9.277539 1.000000e+37
299191 59578.179688 8478.455078 73144.289062 61.040470 114.624878 -225.263107 13.369023 1.000000e+37
299192 59734.429688 8615.460938 73603.265625 80.621658 119.482971 -285.503326 7.383567 1.000000e+37
299193 59782.878906 8508.942383 73103.500000 139.387085 116.931351 326.008575 9.611864 1.000000e+37
