#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
367388 64494.054688 11962.262695 5177.070312 236.348053 257.288177 57.053844 14.060228 1.000000e+37 1.000000e+37
367389 64328.296875 12356.852539 5337.690918 -142.954330 274.602783 8.109942 14.258806 1.000000e+37 1.000000e+37
367390 64416.589844 12395.825195 5432.727539 4.343212 131.105530 -76.358826 10.537151 1.000000e+37 1.000000e+37
367391 63880.855469 12165.127930 5385.102539 187.911346 122.806870 -67.101326 13.062530 1.000000e+37 1.000000e+37
367392 64314.535156 12306.855469 5167.608887 87.627327 217.362900 261.988586 13.745846 1.000000e+37 1.000000e+37
367393 64180.199219 12135.349609 5307.791016 -142.745438 55.702572 -4.947741 11.667814 1.000000e+37 1.000000e+37
367394 64296.894531 12187.651367 5195.083008 -42.688145 142.655380 354.575989 15.202050 1.000000e+37 1.000000e+37
367395 64402.406250 12112.585938 5291.958984 -12.630440 393.503418 177.374802 14.671763 1.000000e+37 1.000000e+37
367396 64572.859375 12440.617188 5367.458984 -43.583683 251.590302 -15.004888 11.145611 1.000000e+37 1.000000e+37
367397 64608.902344 12254.256836 5378.034180 98.022438 321.580688 -75.197769 9.026144 1.000000e+37 1.000000e+37
367398 64322.804688 12108.625000 5325.060059 14.937248 599.545593 253.333054 12.369708 1.000000e+37 1.000000e+37
367399 64328.097656 12232.663086 5317.218750 -260.601990 150.855652 3.376350 11.770294 1.000000e+37 1.000000e+37
367400 64200.574219 12246.716797 5178.282227 137.612305 50.770084 216.266617 11.152766 1.000000e+37 1.000000e+37
367401 64156.667969 12209.997070 5303.796875 -56.040325 250.101990 140.924759 14.542123 1.000000e+37 1.000000e+37
367402 64438.644531 12162.158203 5212.662598 96.240387 485.496033 15.959306 10.971935 1.000000e+37 1.000000e+37
367403 64346.386719 11980.307617 5294.329102 -70.009918 435.484802 250.709381 10.622758 1.000000e+37 1.000000e+37
367404 64151.523438 12118.778320 5231.941895 214.207794 168.440186 205.094009 9.701472 1.000000e+37 1.000000e+37
367405 64334.917969 12309.354492 5194.153320 126.412392 170.302612 -1.171482 13.206651 1.000000e+37 1.000000e+37
367406 63841.105469 12286.074219 5355.476074 176.817291 238.877853 66.949593 9.962610 1.000000e+37 1.000000e+37
367407 64251.703125 12182.022461 5442.314453 58.361248 14.897761 -0.195040 9.905728 1.000000e+37 1.000000e+37
367408 64653.421875 12321.306641 5310.628906 -12.518043 12.622995 4.838184 7.919694 1.000000e+37 1.000000e+37
367409 64497.644531 12441.938477 5337.638184 79.497185 342.168610 132.965973 9.840013 1.000000e+37 1.000000e+37
367410 64173.070312 11959.011719 5224.994629 207.872284 319.295868 -21.844564 7.931034 1.000000e+37 1.000000e+37
