#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
141 68568.406250 65760.906250 55456.121094 91.584541 -374.866608 -326.253998
142 31167.578125 36893.125000 12662.736328 -14.657438 -133.423203 -121.825241
143 8999.188477 40965.792969 27293.615234 144.494476 -187.088257 -1.400300
144 21845.345703 49721.382812 32150.078125 -95.304153 -94.389252 289.362762
145 60618.550781 2831.156982 38821.035156 -82.594444 -321.884125 -255.305893
146 29084.119141 59053.414062 60089.289062 -296.393097 34.832817 -174.254791
147 26636.425781 60905.460938 54257.226562 -102.351997 -238.590469 23.672428
148 39909.156250 71655.007812 42823.929688 106.807335 -370.706635 -101.845390
149 44691.738281 70640.726562 8888.525391 -11.275881 116.042923 -3.378016
150 51859.777344 10556.159180 13126.278320 88.311554 10.652917 31.607965
151 54051.058594 13641.707031 58153.175781 -38.936733 -89.654732 -119.540527
152 27004.386719 40843.875000 52949.816406 -235.769943 202.548340 -243.698959
153 17534.115234 20869.474609 39182.875000 -0.273919 77.611877 -69.556717
154 13259.849609 43472.625000 2148.782959 -60.332851 -35.584938 -233.857178
155 24326.412109 18422.623047 29605.800781 -86.342598 -81.827728 105.966782
156 51490.867188 17231.962891 4216.467773 26.063944 175.605957 40.065109
157 13395.295898 11092.110352 25539.761719 -51.741001 131.065842 181.172684
158 9753.349609 33102.625000 67644.765625 -118.085579 39.656933 -39.704014
159 70155.062500 16593.960938 27165.380859 324.601959 -49.812386 -180.847107
160 51867.855469 48600.207031 26168.212891 -26.837112 -127.421608 82.784378
161 4318.884277 59485.492188 28904.146484 2.877836 -93.150261 255.524612
162 51958.351562 18742.626953 3628.662354 58.222210 1.819552 58.269867
163 11197.475586 886.441101 8208.085938 361.948425 15.639748 71.084488
164 15649.968750 20431.166016 27851.587891 -211.889725 -91.484505 46.384361
165 16757.228516 50472.699219 62629.453125 -54.191319 141.551315 -68.363037
166 25981.681641 2864.269775 1516.014404 -146.627670 50.457367 -271.366302
167 46616.308594 7828.518555 4174.323242 -22.000397 -96.292053 -116.834511
168 9371.097656 50868.132812 69199.234375 318.348877 -8.958570 -212.894028
169 54492.496094 4962.821777 36021.460938 285.300659 89.668587 271.791382
170 5316.218750 4026.272949 39096.820312 -151.546814 301.070892 -8.223421
171 11296.160156 48877.574219 68218.710938 179.463318 244.265488 -74.959564
172 41332.496094 74912.179688 36591.660156 -80.879753 -173.863541 323.720703
173 33393.945312 2983.395020 50962.937500 60.779564 -97.989525 -13.818472
174 21120.705078 74012.906250 19484.128906 -152.762589 126.925713 -57.381271
175 21187.232422 3981.383545 26258.976562 -128.025208 226.219589 -21.933897
176 6792.995605 48454.566406 25475.824219 0.856238 -179.784607 194.162552
177 27190.712891 55307.593750 38734.101562 -113.354111 -35.523361 264.087097
178 8781.381836 17932.371094 65013.519531 224.639526 331.484161 -196.686737
179 3681.263184 27243.007812 10743.281250 -412.201324 128.055557 230.800812
180 15242.280273 2151.978760 18034.433594 22.368000 280.562378 -111.018265
181 13189.905273 6817.345703 18593.990234 51.770546 160.225647 21.209755
182 15841.602539 12996.314453 60194.636719 29.539112 206.743729 30.917828
183 2340.006836 24152.339844 20485.859375 -452.127716 107.009766 -346.532654
184 14204.603516 33608.910156 54621.339844 30.512247 185.448792 16.645128
185 72170.773438 59602.730469 56392.449219 -225.016495 -296.623657 -602.384766
186 21736.068359 24275.578125 1359.249756 -160.685989 -52.707645 98.977287
187 42273.769531 50468.277344 28907.628906 8.209794 45.736992 86.268478
188 63181.222656 25306.357422 74151.296875 166.736237 129.163834 154.616959
189 66107.390625 24639.082031 13114.869141 498.663879 -14.105364 202.816528
190 17160.937500 43933.925781 53888.816406 228.685852 252.511429 -261.242371
191 31311.423828 68676.226562 66679.265625 -159.502869 139.902756 63.575100
192 37268.742188 19817.980469 54622.304688 -97.543427 17.276897 -112.422585
193 30018.486328 4270.562500 50307.093750 144.357941 -25.174948 82.136032
194 44723.371094 4543.166016 19.640102 -157.677444 -151.850327 -72.580048
195 38807.050781 57358.496094 28594.345703 4.335991 93.460724 206.130569
196 70160.578125 22429.187500 20734.646484 355.439056 -229.913345 12.958360
197 48379.320312 55164.296875 26168.458984 36.485783 48.159218 272.418091
198 32918.187500 4378.901367 53676.601562 -5.246965 -37.275024 -59.638794
199 17692.144531 22901.347656 35060.593750 -63.651558 2.128746 -55.860184
200 59532.109375 13509.121094 27890.492188 324.953400 100.242989 247.822205
201 56215.824219 29456.080078 1536.078857 3.003409 5.845088 91.304337
202 23864.789062 42363.578125 47404.410156 -236.641891 261.638092 162.035248
203 72822.679688 10677.728516 30769.156250 127.437126 304.937286 114.063934
204 6716.578613 12781.667969 61492.187500 200.411728 271.527374 -14.779908
205 8611.999023 52320.296875 46032.945312 593.261719 -65.631233 349.454803
206 55541.320312 27205.369141 1900.475952 67.523987 138.637177 51.694496
207 1093.272217 54968.093750 41538.617188 52.677166 -211.530502 203.848007
208 37227.042969 61929.863281 45766.281250 75.401230 201.611023 -86.943260
209 13347.586914 20657.789062 7144.481934 -91.883415 -1.814533 16.325500
210 32627.835938 33879.039062 6758.578125 -199.683533 63.109455 -10.124019
211 57474.226562 68875.468750 29074.556641 2.830176 186.652679 119.913879
212 65590.812500 74202.078125 48554.332031 13.026398 -208.777512 -268.541626
213 39090.582031 68666.179688 46080.828125 243.523956 -290.223358 -254.013382
214 25890.820312 7274.637695 30922.519531 -181.469238 37.891502 17.404467
215 20817.097656 47190.207031 817.455261 -149.935257 12.164905 -270.902832
216 18254.613281 59398.500000 68285.578125 -89.775536 -93.632996 -104.366768
217 43070.746094 23646.408203 67881.031250 -167.063873 70.272163 -59.529041
218 57691.722656 69609.171875 26909.974609 -141.414200 -111.413628 290.059418
219 10154.765625 25402.015625 25257.794922 -151.028748 -218.087265 49.094063
220 35443.949219 59504.753906 47005.015625 -81.717140 160.294449 -81.229393
221 47908.046875 74946.742188 34815.003906 17.120111 27.102415 234.270569
222 18955.242188 14167.528320 62106.078125 -47.298664 64.134445 10.037787
223 6891.167480 2062.169922 22644.333984 105.475632 204.608749 68.851059
224 11800.602539 11491.483398 40640.500000 -143.753967 142.246124 -260.352570
225 65225.101562 19249.347656 27650.818359 286.294617 -416.076202 -299.044586
226 28751.519531 22644.496094 41010.984375 -216.596771 163.902618 183.697403
227 25354.943359 48034.289062 74321.257812 -275.938599 10.928736 -151.838669
228 48216.222656 63124.878906 34722.996094 -36.300747 135.016006 95.827705
229 33112.097656 1818.674438 34885.160156 137.292908 31.501738 43.286144
230 21960.107422 27670.875000 4833.425293 -151.214386 -103.762711 -17.893915
231 60105.550781 37036.457031 74642.242188 184.491379 -148.613022 0.544782
232 25884.443359 3096.898682 55769.199219 129.931198 36.202938 68.020340
233 1453.198853 49115.425781 55827.738281 79.539238 419.211792 -50.155773
234 58916.300781 69221.507812 30232.447266 -52.816399 156.037903 46.850704
235 4067.744141 46910.371094 73926.101562 187.080353 -14.283214 -138.259918
236 17427.763672 13318.738281 73754.382812 123.549675 47.501083 133.214386
237 43397.304688 32603.650391 36903.929688 -88.945709 57.627151 -31.134363
238 49104.738281 59631.949219 30768.306641 18.985382 108.388474 82.672066
239 52280.101562 46498.546875 25380.582031 -61.879414 9.243989 137.574112
240 50382.273438 12494.922852 38804.339844 152.474899 -226.436737 -44.929207
241 33168.972656 4575.709473 55643.703125 -66.738480 -76.790504 -161.837982
242 63822.632812 1293.859619 42939.363281 -99.950905 -104.569893 -312.298676
243 6228.503906 11146.277344 34228.683594 189.523331 95.398308 -133.700424
244 59831.695312 8484.636719 73331.476562 3.442004 101.941803 35.464317
245 842.307007 31283.273438 8442.847656 242.176498 -300.264709 117.596611
246 9167.578125 22152.732422 24508.757812 -201.065338 -6.239251 -47.945408
247 19044.115234 65139.378906 2468.131592 -149.681244 549.396912 -390.854706
248 26638.423828 48939.355469 6104.071289 -237.034439 11.534511 -69.129707
249 19067.207031 13677.555664 22926.488281 -276.379578 -83.233360 63.050415
250 65870.890625 63964.546875 38130.312500 134.025360 93.581718 301.104218
251 67934.351562 31141.140625 69975.609375 184.355469 87.253014 303.653442
252 67619.968750 21144.453125 21416.017578 478.107208 -222.047623 206.814957
253 853.955872 21542.277344 22821.419922 25.874605 -317.018951 -382.029541
254 12873.799805 33630.164062 28857.138672 -52.838131 -122.874886 113.170532
255 36339.582031 74763.218750 49031.945312 39.993793 -156.906052 -146.796219
256 21638.947266 18046.248047 43865.164062 -31.836796 106.866318 4.273555
257 57291.328125 45528.050781 59879.820312 143.696686 26.346594 58.794815
258 24613.544922 43891.625000 10077.866211 -154.448395 37.377407 -76.667831
259 12449.744141 39267.949219 7567.960449 -111.646431 -139.930603 -113.202484
260 4382.035156 53081.761719 43601.417969 387.693634 -4.334421 61.179996
261 66322.398438 7053.860352 37422.210938 -1.403403 -194.203110 -110.024185
262 73383.343750 57344.511719 39764.050781 -166.895813 -182.945511 369.394928
263 17289.748047 15082.672852 26751.703125 -208.044769 -13.336188 76.005791
264 23973.742188 53943.773438 43433.414062 -66.593636 -361.671997 245.407578
265 906.464905 37430.753906 2630.068848 50.978931 -370.593018 27.202400
266 10194.277344 15397.332031 63090.156250 -30.182598 297.553619 -46.963459
267 45545.226562 18158.056641 56610.003906 -123.658096 -51.654942 -66.644157
268 6362.361816 41817.753906 30977.488281 182.890182 -69.917168 -11.245709
269 538.027771 29081.968750 57071.351562 312.497559 131.683716 95.245789
270 70072.007812 27289.652344 19226.480469 446.174347 -350.291107 -62.066513
271 45957.316406 37025.632812 71713.390625 -218.995346 168.422104 -347.515259
272 48949.117188 38599.335938 71454.351562 -320.663788 -90.641060 -88.580711
273 39750.882812 48429.636719 52048.273438 -210.946335 -91.812248 -66.167480
274 68016.250000 52551.015625 54799.667969 247.326370 482.425171 68.467346
275 40137.359375 21120.814453 63339.000000 -50.467770 58.240685 -77.179321
